"Time","hestia/local/temperature.mean"
2023-03-08 08:25:00,74.5 °F
2023-03-08 11:20:00,76 °F
2023-03-08 11:40:00,75.5 °F
2023-03-08 14:45:00,77 °F
2023-03-08 14:50:00,76 °F
2023-03-08 15:05:00,75 °F
2023-03-08 15:10:00,76 °F
2023-03-08 15:30:00,75 °F
2023-03-08 16:00:00,74 °F
2023-03-08 16:05:00,75 °F
2023-03-08 16:20:00,75.7 °F
2023-03-08 16:25:00,75 °F
2023-03-08 16:35:00,74 °F
2023-03-08 16:40:00,75 °F
2023-03-08 16:55:00,75.7 °F
2023-03-08 17:00:00,75 °F
2023-03-08 17:05:00,76 °F
2023-03-08 19:20:00,76.6 °F
2023-03-08 19:25:00,76.7 °F
2023-03-09 01:05:00,76.5 °F
2023-03-09 01:10:00,76.3 °F
2023-03-09 13:05:00,76.7 °F
2023-03-09 13:10:00,76.5 °F
2023-03-09 13:15:00,76 °F
2023-03-09 13:20:00,77 °F
2023-03-09 14:25:00,78 °F
2023-03-09 23:25:00,77 °F
2023-03-09 23:30:00,76.5 °F
2023-03-10 08:40:00,76.5 °F
2023-03-10 08:45:00,76.3 °F
2023-03-10 08:50:00,77 °F
2023-03-10 08:55:00,76.5 °F
2023-03-10 09:25:00,76 °F
2023-03-10 09:30:00,76 °F
2023-03-10 09:35:00,76.5 °F
2023-03-10 12:15:00,76.5 °F
2023-03-10 12:20:00,77 °F
2023-03-10 12:30:00,76 °F
2023-03-10 12:40:00,75 °F
2023-03-10 12:45:00,76 °F
2023-03-10 13:55:00,76.7 °F
2023-03-10 14:00:00,76.5 °F
2023-03-10 14:15:00,76.3 °F
2023-03-10 14:20:00,77 °F
2023-03-10 21:00:00,76 °F
2023-03-10 21:05:00,75.5 °F
2023-03-10 21:25:00,76.5 °F
2023-03-10 21:35:00,75 °F
2023-03-10 21:40:00,76 °F
2023-03-11 02:35:00,75.3 °F
2023-03-11 02:40:00,76 °F
2023-03-11 02:45:00,75.4 °F
2023-03-11 11:30:00,76 °F
2023-03-11 14:05:00,76.5 °F
2023-03-11 14:15:00,77 °F
2023-03-11 15:35:00,77.7 °F
2023-03-11 17:00:00,79 °F
2023-03-11 17:05:00,78 °F
2023-03-11 19:25:00,78.7 °F
2023-03-11 19:30:00,78 °F
2023-03-11 19:35:00,78.5 °F
2023-03-11 19:40:00,79 °F
2023-03-11 20:55:00,78.5 °F
2023-03-11 21:40:00,78 °F
2023-03-11 22:25:00,77 °F
2023-03-11 22:35:00,76 °F
2023-03-11 22:40:00,77 °F
2023-03-11 22:55:00,78 °F
2023-03-11 23:00:00,77 °F
2023-03-11 23:05:00,76 °F
2023-03-11 23:10:00,77 °F
2023-03-12 22:35:00,76.5 °F
2023-03-12 22:40:00,76 °F
2023-03-13 01:05:00,75 °F
2023-03-13 04:15:00,74 °F
2023-03-13 06:50:00,73 °F
2023-03-13 11:20:00,72.5 °F
2023-03-13 11:45:00,72.3 °F
2023-03-13 11:55:00,72.7 °F
2023-03-13 12:00:00,72.5 °F
2023-03-13 12:35:00,72.5 °F
2023-03-13 12:40:00,72.3 °F
2023-03-13 15:55:00,72.5 °F
2023-03-13 16:10:00,72.7 °F
2023-03-14 00:05:00,72.4 °F
2023-03-14 00:10:00,72.5 °F
2023-03-14 00:20:00,72.5 °F
2023-03-14 04:55:00,71.5 °F
2023-03-14 05:00:00,71.5 °F
2023-03-14 05:10:00,71.3 °F
2023-03-14 05:20:00,71.5 °F
2023-03-14 09:15:00,70.5 °F
2023-03-14 09:25:00,70.3 °F
2023-03-14 09:30:00,70.5 °F
2023-03-14 09:35:00,70.5 °F
2023-03-14 10:00:00,69 °F
2023-03-14 10:05:00,70 °F
2023-03-14 10:15:00,69 °F
2023-03-14 10:30:00,68 °F
2023-03-14 10:35:00,68.7 °F
2023-03-14 11:05:00,68 °F
2023-03-14 11:15:00,69 °F
2023-03-14 11:25:00,68 °F
2023-03-14 11:40:00,68.7 °F
2023-03-14 11:45:00,68 °F
2023-03-14 11:50:00,68.7 °F
2023-03-14 12:00:00,68.3 °F
2023-03-14 12:05:00,69 °F
2023-03-14 13:55:00,68 °F
2023-03-14 14:00:00,69 °F
2023-03-14 14:30:00,68 °F
2023-03-14 14:35:00,69 °F
2023-03-14 15:00:00,68.5 °F
2023-03-14 15:20:00,69.5 °F
2023-03-14 15:45:00,69.5 °F
2023-03-14 15:55:00,70 °F
2023-03-14 17:05:00,70.5 °F
2023-03-14 17:10:00,70.5 °F
2023-03-14 17:15:00,70.5 °F
2023-03-14 17:20:00,70.5 °F
2023-03-14 17:25:00,71 °F
2023-03-14 21:00:00,71.7 °F
2023-03-14 21:10:00,71.5 °F
2023-03-15 00:05:00,71 °F
2023-03-15 00:10:00,71.5 °F
2023-03-15 00:15:00,71.5 °F
2023-03-15 03:25:00,70.5 °F
2023-03-15 03:30:00,70 °F
2023-03-15 07:05:00,69 °F
2023-03-15 07:30:00,69.5 °F
2023-03-15 08:20:00,70 °F
2023-03-15 08:30:00,71 °F
2023-03-15 08:40:00,72 °F
2023-03-15 08:50:00,71 °F
2023-03-15 09:35:00,70 °F
2023-03-15 09:40:00,71 °F
2023-03-15 09:50:00,72 °F
2023-03-15 10:10:00,71 °F
2023-03-15 15:30:00,71.5 °F
2023-03-15 15:35:00,71.5 °F
2023-03-15 15:40:00,72 °F
2023-03-15 18:55:00,72.5 °F
2023-03-15 19:00:00,73 °F
2023-03-15 19:05:00,72.5 °F
2023-03-15 19:10:00,72 °F
2023-03-15 19:15:00,72.5 °F
2023-03-15 19:20:00,73 °F
2023-03-16 01:10:00,72.3 °F
2023-03-16 01:15:00,73 °F
2023-03-16 01:20:00,72.4 °F
2023-03-16 01:25:00,72.5 °F
2023-03-16 01:30:00,72.5 °F
2023-03-16 12:45:00,73 °F
2023-03-16 13:05:00,72.4 °F
2023-03-16 13:10:00,72.7 °F
2023-03-16 20:30:00,74 °F
2023-03-16 20:35:00,73 °F
2023-03-16 20:40:00,74 °F
2023-03-16 21:25:00,73 °F
2023-03-16 21:30:00,74 °F
2023-03-17 01:50:00,73.4 °F
2023-03-17 01:55:00,73.5 °F
2023-03-17 04:50:00,72 °F
2023-03-17 07:25:00,71 °F
2023-03-17 07:35:00,71.5 °F
2023-03-17 09:55:00,72 °F
2023-03-17 10:05:00,73 °F
2023-03-17 10:25:00,72 °F
2023-03-17 10:55:00,71 °F
2023-03-17 11:00:00,72 °F
2023-03-17 11:10:00,73 °F
2023-03-17 11:35:00,72.5 °F
2023-03-17 11:45:00,72 °F
2023-03-17 12:50:00,71 °F
2023-03-17 12:55:00,72 °F
2023-03-17 13:05:00,73 °F
2023-03-17 13:30:00,72 °F
2023-03-17 14:25:00,71 °F
2023-03-17 14:30:00,72 °F
2023-03-17 14:35:00,73 °F
2023-03-17 15:00:00,72 °F
2023-03-17 16:30:00,71.5 °F
2023-03-17 16:45:00,73 °F
2023-03-17 17:35:00,72 °F
2023-03-17 19:25:00,71 °F
2023-03-17 19:30:00,72 °F
2023-03-17 19:40:00,73 °F
2023-03-17 20:00:00,72 °F
2023-03-17 21:00:00,71 °F
2023-03-17 21:05:00,72 °F
2023-03-17 21:15:00,73 °F
2023-03-17 21:35:00,72 °F
2023-03-17 22:40:00,71 °F
2023-03-17 22:45:00,72 °F
2023-03-17 22:55:00,73 °F
2023-03-17 23:10:00,72 °F
2023-03-17 23:50:00,71 °F
2023-03-18 01:35:00,70.3 °F
2023-03-18 04:15:00,69.4 °F
2023-03-18 08:25:00,68.5 °F
2023-03-18 08:30:00,68 °F
2023-03-18 09:10:00,69 °F
2023-03-18 09:20:00,70 °F
2023-03-18 09:30:00,71 °F
2023-03-18 09:50:00,72 °F
2023-03-18 10:10:00,73 °F
2023-03-18 10:25:00,72 °F
2023-03-18 11:05:00,71 °F
2023-03-18 12:15:00,72 °F
2023-03-18 12:25:00,73 °F
2023-03-18 12:45:00,72 °F
2023-03-18 13:30:00,71 °F
2023-03-18 13:35:00,72 °F
2023-03-18 13:45:00,73 °F
2023-03-18 14:10:00,72 °F
2023-03-18 15:25:00,71 °F
2023-03-18 15:30:00,71.7 °F
2023-03-18 15:40:00,73 °F
2023-03-18 16:05:00,72 °F
2023-03-18 17:05:00,71.5 °F
2023-03-18 17:15:00,73 °F
2023-03-18 17:35:00,72 °F
2023-03-18 18:35:00,71.5 °F
2023-03-18 18:45:00,73 °F
2023-03-18 19:10:00,72.3 °F
2023-03-18 20:50:00,71.5 °F
2023-03-18 21:00:00,73 °F
2023-03-18 21:25:00,72.5 °F
2023-03-18 21:30:00,72 °F
2023-03-18 22:25:00,73 °F
2023-03-18 22:40:00,74 °F
2023-03-18 22:55:00,73 °F
2023-03-18 23:30:00,72 °F
2023-03-19 00:30:00,71.4 °F
2023-03-19 02:10:00,70.3 °F
2023-03-19 03:55:00,69 °F
2023-03-19 04:00:00,69.6 °F
2023-03-19 04:05:00,69.3 °F
2023-03-19 06:10:00,68 °F
2023-03-19 08:10:00,69 °F
2023-03-19 08:15:00,69 °F
2023-03-19 08:20:00,70 °F
2023-03-19 08:40:00,71 °F
2023-03-19 08:55:00,70 °F
2023-03-19 09:20:00,69 °F
2023-03-19 09:25:00,70 °F
2023-03-19 09:35:00,71 °F
2023-03-19 09:50:00,70 °F
2023-03-19 10:25:00,69 °F
2023-03-19 21:15:00,70 °F
2023-03-19 21:25:00,71 °F
2023-03-19 21:40:00,70 °F
2023-03-19 22:40:00,69.3 °F
2023-03-19 23:00:00,70 °F
2023-03-19 23:05:00,71 °F
2023-03-19 23:15:00,70 °F
2023-03-19 23:50:00,69 °F
2023-03-20 01:20:00,68.5 °F
2023-03-20 01:25:00,68 °F
2023-03-20 03:20:00,67.5 °F
2023-03-20 03:30:00,69 °F
2023-03-20 03:50:00,68 °F
2023-03-20 04:25:00,67 °F
2023-03-20 04:30:00,68 °F
2023-03-20 04:35:00,69 °F
2023-03-20 04:55:00,68 °F
2023-03-20 05:50:00,67.5 °F
2023-03-20 06:00:00,69 °F
2023-03-20 06:20:00,70 °F
2023-03-20 06:35:00,71 °F
2023-03-20 06:50:00,72 °F
2023-03-20 07:00:00,71 °F
2023-03-20 07:15:00,72 °F
2023-03-20 07:45:00,73 °F
2023-03-20 08:00:00,72 °F
